Nome;Indirizzo;Città;Nazione;Prezzo;Prezzo Medio;Tipo di cucina;Longitude;Latitude;Prenotazione Online;Delivery
Blue Bay Marcel Ravin;40 avenue Princesse-Grace;Monaco; France;€€€€;100;Creative;74379746;437488966;NO;SI
L'Orangerie;Four Seasons George V;Paris; France;€€€€;100;Modern Cuisine;23008263;488687851;SI;NO
Le Grand Restaurant - Jean-François Piège;7 rue d'Aguesseau;Paris; France;€€€€;100;Creative;23193146;488701983;SI;NO
Guy Savoy;11 quai de Conti;Paris; France;€€€€;100;Modern Cuisine;23391955;488566248;NO;NO
Restaurant Le Meurice Alain Ducasse;Le Meurice;Paris; France;€€€€;100;Creative;23278399;4886525;NO;SI
Relais de la Poste;24 avenue de Maremne;Magescq; France;€€€€;100;Classic Cuisine;-12179647;437787343;SI;NO
Paul Bocuse;40 quai de la Plage;Collonges-au-Mont-d'Or; France;€€€€;100;Classic Cuisine;48475623;458156437;NO;NO
Takao Takano;33 rue Malesherbes;Lyon; France;€€€€;100;Creative;48426431;457704565;SI;SI
Mère Brazier;12 rue Royale;Lyon; France;€€€€;100;Classic Cuisine;48372034;457714309;SI;SI
Le Pré - Xavier Beaudiment;Route de la Baraque;Clermont-Ferrand; France;€€€€;100;Creative;30519431;457886787;SI;NO
JY'S;3 allée du Champ-de-Mars;Colmar; France;€€€€;100;Creative;73533263;480755636;NO;NO
Serge Vieira;Le Couffour;Chaudes-Aigues; France;€€€€;100;Creative;30019613;448442761;NO;SI
Sushi Yoshinaga;27 rue du 4-Septembre;Paris; France;€€€€;100;Japanese;23349558;488698375;SI;NO
Le Neuvième Art;173 rue Cuvier;Lyon; France;€€€€;100;Creative, Modern Cuisine;48564194;45767953;NO;SI
Le Sarkara;Le K2 Palace;Courchevel; France;€€€€;100;Creative;6638871;454122032;NO;SI
Bras;Route de l'Aubrac;Laguiole; France;€€€€;100;Creative;28938527;446807175;SI;NO
Le Skiff Club;Hôtel Ha(a)ïtza;Pyla-sur-Mer; France;€€€€;100;Modern Cuisine;-120669;44606014;SI;SI
La Table des Amis;Les Mas Les Eydins;Bonnieux; France;€€€€;100;Modern Cuisine;53018513;438511871;SI;SI
Maison Benoît Vidal;Sur-les-Bois;Annecy; France;€€€€;100;Creative;6171891;459226978;NO;NO
Jean Sulpice;303 route du Port;Talloires-Montmin; France;€€€€;100;Creative;6210543;458393308;NO;NO
Duende;Quai de la Fontaine;Nîmes; France;€€€€;100;Modern Cuisine;43527079;438388191;NO;NO
Py-r;19 descente de la Halle-aux-Poissons;Toulouse; France;€€€€;100;Creative;14408583;43599313;SI;NO
La Scène;32 avenue Matignon;Paris; France;€€€€;100;Modern Cuisine;23144577;488720059;NO;NO
Les Ambassadeurs by Christophe Cussac;Hôtel Métropole Monte-Carlo;Monaco; France;€€€€;100;Modern Cuisine, Mediterranean Cuisine;74275615;437405056;SI;SI
Les Morainières;1400 route de Marestel;Jongieux; France;€€€€;100;Creative, Modern Cuisine;57982975;457449451;NO;NO
La Pyramide - Maison Henriroux;14 boulevard Fernand-Point;Vienne; France;€€€€;100;Modern Cuisine;48668625;455166376;NO;SI
Cédric Burtin;Chemin de Martorez;Saint-Rémy; France;€€€€;100;Creative, Modern Cuisine;48200267;467567708;NO;SI
La Merise;7 rue d'Eschbach;Laubach; France;€€€€;100;Modern Cuisine;77224093;488800665;SI;SI
L'Abysse au Pavillon Ledoyen;8 avenue Dutuit;Paris; France;€€€€;100;Japanese, Creative;23164988;488662069;NO;SI
Racine;6 place Godinot;Reims; France;€€€€;100;Creative;403752;492528607;SI;SI
Michel Kayser - Restaurant Alexandre;2 rue Xavier-Tronc;Garons; France;€€€€;100;Modern Cuisine;44229251;437679586;SI;SI
